date	time	filename	physio_files	edf_file	edf_filesize	acq_time
2023-09-25	19:32:27.380000	sub-001/ses-pilot019/func/sub-001_ses-pilot019_task-pilotrest_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	n/a	n/a	2023-09-25 19:32:27.380000
2023-09-25	19:53:55.252500	sub-001/ses-pilot019/func/sub-001_ses-pilot019_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	n/a	n/a	2023-09-25 19:53:55.252500
2023-10-05	18:05:25.630000	sub-001/ses-pilot020/dwi/sub-001_ses-pilot020_acq-pilotrel_dir-PA_run-1_dwi.nii.gz	session2023-10-05T17:37:53.acq	n/a	n/a	2023-10-05 18:05:25.630000
2023-10-05	18:07:18.905000	sub-001/ses-pilot020/dwi/sub-001_ses-pilot020_acq-pilotrel_dir-PA_run-2_dwi.nii.gz	session2023-10-05T17:29:56.acq,session2023-10-05T17:37:53.acq,session2023-10-05T19:46:40.acq	n/a	n/a	2023-10-05 18:07:18.905000
2023-10-05	18:17:24.762500	sub-001/ses-pilot020/dwi/sub-001_ses-pilot020_acq-pilotrel_dir-PA_run-3_dwi.nii.gz	n/a	fixation_2023-10-05_18h16.38.277_4.EDF	16869.8857421875	2023-10-05 18:17:24.762500
2023-10-05	18:55:33.352500	sub-001/ses-pilot020/func/sub-001_ses-pilot020_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-05_18h53.24.053_4.EDF	1799.9404296875	2023-10-05 18:55:33.352500
2023-10-05	19:02:23.215000	sub-001/ses-pilot020/func/sub-001_ses-pilot020_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	breath_holding_task_2023-10-05_19h01.42.281_1.EDF	3617.5986328125	2023-10-05 19:02:23.215000
2023-10-12	17:28:56.442500	sub-001/ses-pilot021/dwi/sub-001_ses-pilot021_acq-pilotrel_dir-RL_dwi.nii.gz	session2023-10-12T16:47:42.acq	fixation_2023-10-12_17h24.43.540_0.EDF	11236.7109375	2023-10-12 17:28:56.442500
2023-10-12	18:08:24.302500	sub-001/ses-pilot021/func/sub-001_ses-pilot021_task-qct_dir-AP_echo-1_bold.nii.gz	n/a	qct_2023-10-12_18h07.37.632_1.EDF	1878.5478515625	2023-10-12 18:08:24.302500
2023-10-12	18:17:50.195000	sub-001/ses-pilot021/func/sub-001_ses-pilot021_task-pilotrest_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-12_18h15.43.133_1.EDF	14564.455078125	2023-10-12 18:17:50.195000
2023-10-12	18:40:02.250000	sub-001/ses-pilot021/func/sub-001_ses-pilot021_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-12_18h38.56.799_0.EDF	3864.525390625	2023-10-12 18:40:02.250000
2023-10-20	18:54:10.270000	sub-001/ses-001/dwi/sub-001_ses-001_acq-reliability_dir-LR_dwi.nii.gz	session2023-10-20T18:06:05.acq	fixation_2023-10-20_18h48.03.561_5_session_1.EDF	2136.025390625	2023-10-20 18:54:10.270000
2023-10-20	19:42:39.307500	sub-001/ses-001/func/sub-001_ses-001_task-qct_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-20_19h40.38.964_2_session_1.EDF	1869.078125	2023-10-20 19:42:39.307500
2023-10-20	19:50:01.187500	sub-001/ses-001/func/sub-001_ses-001_task-rsmovie_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-20_19h48.22.344_0_session_1.EDF	14662.4814453125	2023-10-20 19:50:01.187500
2023-10-20	20:12:20.265000	sub-001/ses-001/func/sub-001_ses-001_task-bht_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-20_20h10.50.517_0_session_1.EDF	3758.4912109375	2023-10-20 20:12:20.265000
2023-10-21	09:28:21.935000	sub-001/ses-003/dwi/sub-001_ses-003_acq-reliability_dir-LR_dwi.nii.gz	session2023-10-21T09:07:18.acq	fixation_2023-10-21_09h26.29.983_3_session_3.EDF	2994.4482421875	2023-10-21 09:28:21.935000
2023-10-21	10:05:56.382500	sub-001/ses-003/func/sub-001_ses-003_task-qct_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-21_10h04.32.961_0_session_3.EDF	1859.8974609375	2023-10-21 10:05:56.382500
2023-10-21	10:12:32.207500	sub-001/ses-003/func/sub-001_ses-003_task-rsmovie_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-21_10h11.23.092_0_session_3.EDF	14357.8623046875	2023-10-21 10:12:32.207500
2023-10-21	10:34:21.257500	sub-001/ses-003/func/sub-001_ses-003_task-bht_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-21_10h33.23.269_0_session_3.EDF	3732.8642578125	2023-10-21 10:34:21.257500
2023-10-21	11:29:47.890000	sub-001/ses-004/dwi/sub-001_ses-004_acq-reliability_dir-RL_dwi.nii.gz	session2023-10-21T11:12:24.acq	fixation_2023-10-21_11h28.03.360_2_session_4.EDF	3300.6923828125	2023-10-21 11:29:47.890000
2023-10-21	12:15:07.412500	sub-001/ses-004/func/sub-001_ses-004_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-21_12h14.11.346_3_session_4.EDF	1906.9814453125	2023-10-21 12:15:07.412500
2023-10-21	12:22:08.222500	sub-001/ses-004/func/sub-001_ses-004_task-rsmovie_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-21_12h20.30.939_0_session_4.EDF	15080.2783203125	2023-10-21 12:22:08.222500
2023-10-21	12:44:18.352500	sub-001/ses-004/func/sub-001_ses-004_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-21_12h43.24.654_0_session_4.EDF	3905.2373046875	2023-10-21 12:44:18.352500
2023-10-22	09:48:25.612500	sub-001/ses-005/dwi/sub-001_ses-005_acq-reliability_dir-PA_dwi.nii.gz	session2023-10-22T09:36:48.acq	fixation_2023-10-22_09h46.25.719_2_session_5.EDF	7350.1630859375	2023-10-22 09:48:25.612500
2023-10-22	10:26:48.422500	sub-001/ses-005/func/sub-001_ses-005_task-qct_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-22_10h25.10.141_0_session_5.EDF	1833.0546875	2023-10-22 10:26:48.422500
2023-10-22	10:33:53.380000	sub-001/ses-005/func/sub-001_ses-005_task-rsmovie_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-22_10h32.38.153_0_session_5.EDF	14654.5830078125	2023-10-22 10:33:53.380000
2023-10-22	10:56:36.275000	sub-001/ses-005/func/sub-001_ses-005_task-bht_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-22_10h55.36.134_0_session_5.EDF	3667.4560546875	2023-10-22 10:56:36.275000
2023-10-22	11:34:20.785000	sub-001/ses-006/dwi/sub-001_ses-006_acq-reliability_dir-PA_dwi.nii.gz	session2023-10-22T11:22:53.acq	fixation_2023-10-22_11h32.03.586_0_session_6.EDF	5288.0283203125	2023-10-22 11:34:20.785000
2023-10-22	12:11:57.225000	sub-001/ses-006/func/sub-001_ses-006_task-qct_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-22_12h10.47.134_0_session_6.EDF	1822.775390625	2023-10-22 12:11:57.225000
2023-10-22	12:18:06.200000	sub-001/ses-006/func/sub-001_ses-006_task-rsmovie_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-22_12h16.56.202_0_session_6.EDF	14530.5234375	2023-10-22 12:18:06.200000
2023-10-22	12:40:11.427500	sub-001/ses-006/func/sub-001_ses-006_task-bht_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-22_12h39.19.476_1_session_6.EDF	3802.3857421875	2023-10-22 12:40:11.427500
